date,day_of_week,revenue,orders,customers_active,new_customers,profit,cat_electronics,cat_software,cat_cloud,cat_hardware,cat_consulting
2025-08-12,Tuesday,3385716.84,1153,919,33,927671.34,1286572.4,880286.38,677143.37,338571.68,203143.01
2025-08-13,Wednesday,3244651.2,1247,1008,37,900119.27,1232967.46,843609.31,648930.24,324465.12,194679.07
2025-08-14,Thursday,2968962.93,998,698,55,828250.19,1128205.91,771930.36,593792.59,296896.29,178137.78
2025-08-15,Friday,3345744.97,1052,809,49,858709.92,1271383.09,869893.69,669148.99,334574.5,200744.7
2025-08-16,Saturday,2328252.39,852,616,54,636456.61,884735.91,605345.62,465650.48,232825.24,139695.14
2025-08-17,Sunday,2653481.06,958,767,60,731296.37,1008322.8,689905.08,530696.21,265348.11,159208.86
2025-08-18,Monday,3217593.13,1195,849,54,857527.02,1222685.39,836574.21,643518.63,321759.31,193055.59
2025-08-19,Tuesday,3216535.06,1021,853,58,882816.82,1222283.32,836299.12,643307.01,321653.51,192992.1
2025-08-20,Wednesday,3186169.02,1225,978,35,862418.34,1210744.23,828403.95,637233.8,318616.9,191170.14
2025-08-21,Thursday,2993748.04,1012,819,28,768918.4,1137624.26,778374.49,598749.61,299374.8,179624.88
2025-08-22,Friday,3310379.08,1303,973,30,858295.82,1257944.05,860698.56,662075.82,331037.91,198622.74
2025-08-23,Saturday,2468625.34,836,682,50,634454.92,938077.63,641842.59,493725.07,246862.53,148117.52
2025-08-24,Sunday,2543695.37,829,698,44,613078.11,966604.24,661360.8,508739.07,254369.54,152621.72
2025-08-25,Monday,2999390.14,973,684,40,798906.42,1139768.25,779841.44,599878.03,299939.01,179963.41
2025-08-26,Tuesday,3296521.59,1195,838,20,903145.89,1252678.2,857095.61,659304.32,329652.16,197791.3
2025-08-27,Wednesday,3089450.96,1184,838,38,830004.42,1173991.36,803257.25,617890.19,308945.1,185367.06
2025-08-28,Thursday,3340440.67,1073,770,21,858678.03,1269367.45,868514.57,668088.13,334044.07,200426.44
2025-08-29,Friday,2998257.09,1102,926,61,805139.77,1139337.69,779546.84,599651.42,299825.71,179895.43
2025-08-30,Saturday,2505938.06,884,707,25,601814.16,952256.46,651543.9,501187.61,250593.81,150356.28
2025-08-31,Sunday,2605971.14,880,703,37,633121.39,990269.03,677552.5,521194.23,260597.11,156358.27
2025-09-01,Monday,3296464.88,1084,831,53,815813.61,1252656.65,857080.87,659292.98,329646.49,197787.89
2025-09-02,Tuesday,3149392.66,1001,777,63,756130.4,1196769.21,818842.09,629878.53,314939.27,188963.56
2025-09-03,Wednesday,3030207.57,1166,939,48,741133.8,1151478.88,787853.97,606041.51,303020.76,181812.45
2025-09-04,Thursday,3033484.36,1133,847,40,768713.41,1152724.06,788705.93,606696.87,303348.44,182009.06
2025-09-05,Friday,3222082.1,1229,954,63,787895.5,1224391.2,837741.35,644416.42,322208.21,193324.93
2025-09-06,Saturday,2392673.33,918,649,41,598817.85,909215.87,622095.07,478534.67,239267.33,143560.4
2025-09-07,Sunday,2367983.45,862,702,15,574490.73,899833.71,615675.7,473596.69,236798.35,142079.01
2025-09-08,Monday,3357442.24,1245,934,62,830116.53,1275828.05,872934.98,671488.45,335744.22,201446.53
2025-09-09,Tuesday,3245855.01,1098,902,27,888677.06,1233424.9,843922.3,649171.0,324585.5,194751.3
2025-09-10,Wednesday,3253783.59,1021,790,28,810905.96,1236437.76,845983.73,650756.72,325378.36,195227.02
2025-09-11,Thursday,3394779.27,1345,983,21,847603.3,1290016.12,882642.61,678955.85,339477.93,203686.76
2025-09-12,Friday,3223158.36,1141,939,30,878791.05,1224800.18,838021.17,644631.67,322315.84,193389.5
2025-09-13,Saturday,2374609.73,905,754,18,627177.89,902351.7,617398.53,474921.95,237460.97,142476.58
2025-09-14,Sunday,2453086.94,908,649,46,627451.17,932173.04,637802.6,490617.39,245308.69,147185.22
2025-09-15,Monday,3274518.94,1244,1040,59,874280.56,1244317.2,851374.92,654903.79,327451.89,196471.14
2025-09-16,Tuesday,3407744.58,1179,912,65,945630.63,1294942.94,886013.59,681548.92,340774.46,204464.67
2025-09-17,Wednesday,3181058.98,1034,781,36,835526.6,1208802.41,827075.33,636211.8,318105.9,190863.54
2025-09-18,Thursday,3077183.42,1195,898,63,764634.28,1169329.7,800067.69,615436.68,307718.34,184631.01
2025-09-19,Friday,3358701.11,1069,750,64,815779.72,1276306.42,873262.29,671740.22,335870.11,201522.07
2025-09-20,Saturday,2585900.0,968,798,35,685761.3,982642.0,672334.0,517180.0,258590.0,155154.0
2025-09-21,Sunday,2718560.24,924,751,41,717164.3,1033052.89,706825.66,543712.05,271856.02,163113.61
2025-09-22,Monday,3181198.61,1113,940,29,796339.71,1208855.47,827111.64,636239.72,318119.86,190871.92
2025-09-23,Tuesday,3018474.0,1145,832,24,777785.05,1147020.12,784803.24,603694.8,301847.4,181108.44
2025-09-24,Wednesday,3189261.85,1026,780,62,833670.61,1211919.5,829208.08,637852.37,318926.19,191355.71
2025-09-25,Thursday,3396053.35,1138,959,26,915974.41,1290500.27,882973.87,679210.67,339605.34,203763.2
2025-09-26,Friday,3114480.52,986,818,19,808157.18,1183502.6,809764.94,622896.1,311448.05,186868.83
2025-09-27,Saturday,2351518.31,835,636,25,580840.28,893576.96,611394.76,470303.66,235151.83,141091.1
2025-09-28,Sunday,2683032.35,1065,837,55,741324.11,1019552.29,697588.41,536606.47,268303.24,160981.94
2025-09-29,Monday,3275654.98,1222,882,44,916881.68,1244748.89,851670.29,655131.0,327565.5,196539.3
